name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,javaaot,7,21,835,44.722,795064,0,53% 62% 79% 87%,25.828
binarytrees,javaaot,7,21,835,45.369,703200,0,70% 72% 66% 74%,26.177
binarytrees,javaaot,7,21,835,43.157,662304,0,50% 54% 58% 61%,21.987
binarytrees,javaaot,7,21,835,44.494,771124,0,55% 41% 69% 36%,22.351
binarytrees,javaaot,7,21,835,46.086,791324,0,36% 51% 57% 51%,23.830
binarytrees,javaaot,7,21,835,44.443,746152,0,47% 63% 48% 42%,22.571
binarytrees,fsharpcore,2,7,482,0.206,0,0,5% 67% 45% 0%,0.197
binarytrees,fsharpcore,2,14,482,0.433,776,0,46% 9% 5% 55%,0.418
binarytrees,fsharpcore,2,21,482,43.021,884180,0,35% 29% 31% 17%,38.870
binarytrees,fsharpcore,2,21,482,44.131,883160,0,28% 35% 36% 13%,40.046
binarytrees,fsharpcore,2,21,482,43.324,887508,0,24% 36% 41% 11%,39.403
binarytrees,fsharpcore,2,21,482,42.742,883436,0,21% 44% 38% 9%,38.837
binarytrees,fsharpcore,2,21,482,44.467,884340,0,29% 30% 28% 24%,40.630
binarytrees,fsharpcore,2,21,482,43.180,885544,0,26% 35% 32% 20%,39.477
binarytrees,fsharpcore,4,7,488,0.211,0,0,70% 5% 0% 30%,0.202
binarytrees,fsharpcore,4,14,488,0.403,788,0,62% 35% 5% 5%,0.390
binarytrees,fsharpcore,4,21,488,35.553,886176,0,22% 37% 38% 17%,31.785
binarytrees,fsharpcore,4,21,488,34.813,889264,0,35% 32% 33% 10%,31.685
binarytrees,fsharpcore,4,21,488,35.723,886608,0,17% 41% 48% 8%,31.705
binarytrees,fsharpcore,4,21,488,34.813,888712,0,35% 31% 28% 18%,31.415
binarytrees,fsharpcore,4,21,488,35.714,936912,0,20% 36% 43% 16%,31.666
binarytrees,fsharpcore,4,21,488,34.901,913980,0,30% 27% 41% 16%,31.288
binarytrees,ghc,2,7,491,0.006,0,0,0% 25% 0% 50%,0.029
binarytrees,ghc,2,14,491,0.273,0,0,31% 21% 93% 31%,0.156
binarytrees,ghc,2,21,491,61.315,449592,0,86% 38% 38% 51%,28.909
binarytrees,ghc,2,21,491,65.595,450556,0,42% 48% 89% 42%,29.969
binarytrees,ghc,2,21,491,61.975,452996,0,38% 38% 81% 56%,29.235
binarytrees,ghc,2,21,491,55.833,452740,0,96% 35% 35% 38%,27.526
binarytrees,ghc,2,21,491,61.573,450520,0,68% 60% 38% 47%,29.076
binarytrees,ghc,2,21,491,60.421,453912,0,83% 51% 41% 38%,28.726
binarytrees,csharpcore,3,7,676,0.150,0,0,13% 92% 43% 14%,0.138
binarytrees,csharpcore,3,14,676,0.399,776,0,38% 61% 74% 30%,0.242
binarytrees,csharpcore,3,21,676,49.569,1825424,0,86% 83% 88% 84%,15.276
binarytrees,csharpcore,3,21,676,47.880,1592732,0,88% 79% 80% 84%,14.658
binarytrees,csharpcore,3,21,676,49.253,1852196,0,85% 82% 87% 84%,14.684
binarytrees,csharpcore,3,21,676,48.163,1841244,0,92% 81% 84% 83%,14.272
binarytrees,csharpcore,3,21,676,49.800,1807256,0,90% 82% 83% 83%,14.844
binarytrees,csharpcore,3,21,676,49.777,1850640,0,91% 82% 85% 82%,14.721
binarytrees,truffle,5,7,1107,16.356,463704,0,82% 90% 83% 85%,4.832
binarytrees,truffle,5,14,1107,36.179,586300,0,93% 90% 93% 89%,9.942
binarytrees,truffle,5,21,1107,414.605,2304072,0,92% 92% 92% 95%,112.246
binarytrees,truffle,3,7,400,17.796,469800,0,81% 86% 86% 88%,5.241
binarytrees,truffle,3,14,400,33.144,602508,0,89% 88% 91% 91%,9.261
binarytrees,truffle,3,21,400,221.365,2186464,0,50% 43% 37% 64%,114.964
binarytrees,go,3,7,640,0.005,0,0,%,0.000
binarytrees,go,3,14,640,0.687,0,0,85% 90% 90% 79%,0.200
binarytrees,go,3,21,640,137.766,874404,0,99% 96% 97% 95%,35.706
binarytrees,rust,1,7,751,0.004,0,0,%,0.000
binarytrees,rust,1,14,751,0.125,0,0,80% 50% 40% 83%,0.047
binarytrees,rust,1,21,751,24.213,112952,0,81% 77% 91% 87%,7.230
binarytrees,rust,1,21,751,24.159,133360,0,89% 79% 74% 97%,7.152
binarytrees,rust,1,21,751,24.066,133408,0,84% 78% 75% 99%,7.221
binarytrees,rust,1,21,751,24.084,133440,0,91% 82% 87% 73%,7.257
binarytrees,rust,1,21,751,24.151,133500,0,94% 78% 90% 79%,7.113
binarytrees,rust,1,21,751,23.913,133444,0,90% 76% 72% 97%,7.191
binarytrees,go,9,7,508,0.004,0,0,100% 0% 50% 0%,0.012
binarytrees,go,9,14,508,0.344,948,0,37% 34% 41% 19%,0.282
binarytrees,go,9,21,508,98.589,239116,0,46% 44% 48% 35%,57.466
binarytrees,go,9,21,508,98.120,223104,0,48% 43% 43% 41%,56.531
binarytrees,go,9,21,508,98.444,257972,0,48% 48% 35% 43%,57.198
binarytrees,go,9,21,508,98.196,249804,0,44% 44% 44% 42%,56.850
binarytrees,go,9,21,508,97.467,234332,0,41% 48% 41% 45%,56.287
binarytrees,go,9,21,508,98.436,224080,0,46% 50% 35% 47%,57.154
binarytrees,hipe,1,7,420,0.267,0,0,19% 75% 24% 33%,0.200
binarytrees,hipe,1,14,420,0.363,1564,0,24% 27% 76% 7%,0.293
binarytrees,hipe,1,21,420,23.599,592812,0,41% 42% 8% 12%,23.322
binarytrees,hipe,1,21,420,23.387,621148,0,31% 26% 45% 1%,23.115
binarytrees,hipe,1,21,420,23.489,605156,0,15% 33% 8% 47%,23.215
binarytrees,hipe,1,21,420,23.365,620704,0,45% 1% 50% 7%,23.092
binarytrees,hipe,1,21,420,23.383,614148,0,43% 14% 45% 1%,23.107
binarytrees,hipe,1,21,420,23.588,603580,0,6% 14% 82% 1%,23.309
binarytrees,php,7,7,751,0.028,0,0,5% 0% 91% 9%,0.219
binarytrees,php,7,14,751,0.779,50248,0,84% 89% 73% 69%,0.256
binarytrees,php,7,21,751,197.599,1551888,0,87% 71% 77% 81%,85.018
binarytrees,hack,1,7,451,0.439,114208,0,88% 6% 4% 8%,0.510
binarytrees,hack,1,14,451,1.132,134940,0,90% 3% 3% 11%,1.180
binarytrees,hack,1,21,451,146.637,658532,0,1% 99% 1% 0%,146.789
binarytrees,hack,4,7,745,0.574,116104,0,6% 26% 69% 21%,0.733
binarytrees,hack,4,14,745,0.808,113596,0,71% 15% 24% 34%,0.623
binarytrees,hack,4,21,745,36.905,395060,0,73% 80% 86% 86%,11.403
binarytrees,hack,4,21,745,37.673,395576,0,81% 73% 86% 85%,11.688
binarytrees,hack,4,21,745,37.514,395744,0,81% 79% 60% 97%,11.927
binarytrees,hack,4,21,745,37.027,395472,0,84% 79% 84% 74%,11.672
binarytrees,hack,4,21,745,36.154,395672,0,85% 86% 62% 85%,11.509
binarytrees,hack,4,21,745,37.180,395352,0,85% 62% 89% 78%,11.952
binarytrees,yarv,3,7,400,0.803,9884,0,70% 34% 0% 53%,0.529
binarytrees,yarv,3,14,400,1.964,12576,0,4% 100% 96% 5%,0.974
binarytrees,yarv,3,21,400,164.034,526356,0,47% 56% 26% 8%,124.407
binarytrees,lua,2,7,412,0.009,0,0,100% 50% 0% 0%,0.011
binarytrees,lua,2,14,412,1.682,15700,0,100% 2% 1% 1%,1.686
binarytrees,lua,2,21,412,467.623,2312236,0,59% 1% 1% 42%,468.115
binarytrees,gpp,6,7,844,0.007,0,0,%,0.000
binarytrees,gpp,6,14,844,0.051,0,0,50% 75% 50% 50%,0.022
binarytrees,gpp,6,21,844,11.228,221444,0,70% 44% 89% 49%,4.517
binarytrees,gpp,6,21,844,11.249,221936,0,57% 59% 42% 90%,4.592
binarytrees,gpp,6,21,844,11.264,221664,0,57% 56% 46% 89%,4.590
binarytrees,gpp,6,21,844,11.601,221664,0,55% 82% 43% 74%,4.658
binarytrees,gpp,6,21,844,10.931,221524,0,49% 83% 45% 69%,4.500
binarytrees,gpp,6,21,844,11.330,221756,0,72% 60% 54% 62%,4.623
binarytrees,fsharpcore,6,7,611,0.154,0,0,53% 0% 0% 57%,0.137
binarytrees,fsharpcore,6,14,611,0.318,0,0,17% 63% 63% 35%,0.191
binarytrees,fsharpcore,6,21,611,28.062,1051176,0,89% 77% 78% 84%,8.813
binarytrees,fsharpcore,6,21,611,28.235,1024656,0,93% 90% 88% 87%,7.933
binarytrees,fsharpcore,6,21,611,29.224,933864,0,91% 85% 79% 82%,8.741
binarytrees,fsharpcore,6,21,611,29.422,1069344,0,87% 90% 88% 93%,8.263
binarytrees,fsharpcore,6,21,611,28.997,973304,0,87% 88% 87% 80%,8.552
binarytrees,fsharpcore,6,21,611,29.673,998928,0,89% 88% 83% 90%,8.527
binarytrees,perl,1,7,395,0.010,0,0,0% 100% 0% 0%,0.088
binarytrees,perl,1,14,395,2.161,8980,0,100% 0% 0% 2%,2.164
binarytrees,perl,1,21,395,430.485,598628,0,9% 1% 1% 91%,430.664
binarytrees,gnat,5,7,2107,0.007,0,0,50% 0% 33% 0%,0.018
binarytrees,gnat,5,14,2107,0.137,0,0,38% 29% 75% 38%,0.075
binarytrees,gnat,5,21,2107,27.549,202156,0,72% 80% 80% 91%,8.563
binarytrees,gnat,5,21,2107,27.643,202500,0,75% 77% 78% 90%,8.698
binarytrees,gnat,5,21,2107,26.830,202536,0,69% 96% 77% 66%,8.774
binarytrees,gnat,5,21,2107,27.238,202348,0,75% 96% 80% 67%,8.612
binarytrees,gnat,5,21,2107,27.237,202372,0,67% 96% 80% 74%,8.642
binarytrees,gnat,5,21,2107,27.333,202344,0,77% 75% 95% 71%,8.652
binarytrees,ifc,2,7,1148,0.006,0,0,%,0.000
binarytrees,ifc,2,14,1148,0.147,0,0,100% 75% 75% 80%,0.047
binarytrees,ifc,2,21,1148,19.597,113180,0,67% 66% 76% 91%,6.570
binarytrees,ifc,2,21,1148,19.679,113156,0,66% 67% 73% 91%,6.638
binarytrees,ifc,2,21,1148,18.957,112852,0,91% 63% 65% 78%,6.442
binarytrees,ifc,2,21,1148,19.517,112788,0,100% 68% 69% 64%,6.515
binarytrees,ifc,2,21,1148,19.505,113104,0,96% 65% 68% 69%,6.557
binarytrees,ifc,2,21,1148,19.545,112960,0,74% 67% 69% 91%,6.497
binarytrees,csharpcore,2,7,586,0.127,0,0,13% 0% 0% 85%,0.136
binarytrees,csharpcore,2,14,586,0.231,776,0,14% 5% 96% 0%,0.220
binarytrees,csharpcore,2,21,586,20.065,816128,0,21% 44% 38% 10%,18.171
binarytrees,csharpcore,2,21,586,19.827,818292,0,20% 37% 42% 13%,18.148
binarytrees,csharpcore,2,21,586,20.160,815944,0,12% 46% 34% 18%,18.564
binarytrees,csharpcore,2,21,586,20.395,817616,0,33% 32% 28% 21%,18.652
binarytrees,csharpcore,2,21,586,20.520,820284,0,43% 22% 26% 22%,18.478
binarytrees,csharpcore,2,21,586,19.695,820684,0,30% 27% 30% 25%,18.130
binarytrees,gcc,5,7,908,0.004,0,0,%,0.000
binarytrees,gcc,5,14,908,0.237,0,0,63% 88% 63% 89%,0.078
binarytrees,gcc,5,21,908,57.337,351360,0,93% 93% 79% 83%,16.545
binarytrees,gcc,5,21,908,56.350,351376,0,78% 97% 84% 93%,16.093
binarytrees,gcc,5,21,908,56.826,351276,0,84% 91% 73% 99%,16.460
binarytrees,gcc,5,21,908,57.039,351260,0,91% 89% 93% 72%,16.575
binarytrees,gcc,5,21,908,57.151,351380,0,78% 87% 93% 93%,16.327
binarytrees,gcc,5,21,908,55.962,351440,0,93% 87% 73% 93%,16.267
binarytrees,dart,1,7,457,0.757,73476,0,48% 14% 69% 22%,1.399
binarytrees,dart,1,14,457,0.916,100240,0,68% 44% 45% 12%,0.590
binarytrees,dart,1,21,457,51.106,521800,0,67% 20% 19% 28%,38.754
binarytrees,dart,1,21,457,51.139,522820,0,61% 29% 28% 15%,38.756
binarytrees,dart,1,21,457,51.582,487604,0,34% 66% 5% 29%,39.058
binarytrees,dart,1,21,457,51.067,522548,0,26% 28% 66% 13%,38.756
binarytrees,dart,1,21,457,51.729,521232,0,30% 14% 23% 65%,39.474
binarytrees,dart,1,21,457,49.771,546636,0,26% 28% 58% 20%,38.257
binarytrees,fsharpcore,1,7,506,0.134,0,0,15% 0% 8% 92%,0.125
binarytrees,fsharpcore,1,14,506,0.312,788,0,4% 80% 23% 0%,0.298
binarytrees,fsharpcore,1,21,506,32.953,1039500,0,31% 40% 34% 11%,28.763
binarytrees,fsharpcore,1,21,506,33.142,1126984,0,44% 24% 33% 14%,28.933
binarytrees,fsharpcore,1,21,506,33.470,890600,0,31% 33% 34% 20%,28.879
binarytrees,fsharpcore,1,21,506,32.302,947052,0,27% 36% 38% 15%,28.333
binarytrees,fsharpcore,1,21,506,32.862,884812,0,33% 28% 34% 21%,28.640
binarytrees,fsharpcore,1,21,506,31.546,891752,0,37% 32% 28% 15%,28.376
binarytrees,java,6,7,529,0.393,1052,0,52% 74% 40% 14%,0.235
binarytrees,java,6,14,529,0.529,1024,0,26% 15% 94% 39%,0.325
binarytrees,java,6,21,529,16.427,813884,0,11% 59% 42% 17%,12.967
binarytrees,java,6,21,529,16.602,816656,0,8% 86% 21% 14%,13.058
binarytrees,java,6,21,529,16.751,823964,0,98% 11% 10% 11%,13.081
binarytrees,java,6,21,529,16.502,814888,0,34% 9% 18% 68%,12.986
binarytrees,java,6,21,529,16.454,813928,0,26% 10% 10% 82%,12.973
binarytrees,java,6,21,529,16.364,818088,0,14% 29% 74% 11%,12.989
binarytrees,fsharpcore,8,7,619,0.157,0,0,21% 0% 0% 93%,0.138
binarytrees,fsharpcore,8,14,619,0.318,0,0,37% 94% 28% 18%,0.186
binarytrees,fsharpcore,8,21,619,30.157,969616,0,86% 84% 88% 87%,8.794
binarytrees,fsharpcore,8,21,619,29.821,1017332,0,88% 88% 87% 87%,8.575
binarytrees,fsharpcore,8,21,619,30.166,1042104,0,91% 85% 89% 87%,8.619
binarytrees,fsharpcore,8,21,619,29.972,1057392,0,88% 91% 86% 87%,8.569
binarytrees,fsharpcore,8,21,619,27.895,890780,0,93% 90% 92% 89%,7.729
binarytrees,fsharpcore,8,21,619,28.811,884144,0,90% 85% 85% 90%,8.293
binarytrees,racket,1,7,476,0.080,0,0,11% 13% 88% 0%,0.082
binarytrees,racket,1,14,476,0.221,2612,0,5% 4% 5% 100%,0.223
binarytrees,racket,1,21,476,49.169,619308,0,0% 35% 66% 0%,49.222
binarytrees,racket,1,21,476,49.486,619308,0,100% 1% 1% 0%,49.520
binarytrees,racket,1,21,476,49.828,619400,0,0% 4% 3% 100%,49.872
binarytrees,racket,1,21,476,49.220,619364,0,100% 0% 1% 0%,49.256
binarytrees,racket,1,21,476,49.321,619480,0,100% 0% 1% 0%,49.362
binarytrees,racket,1,21,476,49.545,619256,0,1% 0% 0% 100%,49.572
binarytrees,node,1,7,440,0.103,0,0,75% 46% 0% 0%,0.119
binarytrees,node,1,14,440,0.275,956,0,0% 17% 0% 96%,0.249
binarytrees,node,1,21,440,96.192,630796,0,47% 47% 66% 52%,45.865
binarytrees,node,1,21,440,97.706,635796,0,48% 49% 58% 62%,45.225
binarytrees,node,1,21,440,95.859,664688,0,66% 45% 44% 45%,48.102
binarytrees,node,1,21,440,97.631,623984,0,47% 72% 47% 47%,45.934
binarytrees,node,1,21,440,95.879,652128,0,48% 72% 44% 44%,46.629
binarytrees,node,1,21,440,97.246,652912,0,49% 73% 45% 43%,46.563
binarytrees,truffle,4,7,364,15.523,447344,0,92% 83% 77% 89%,4.594
binarytrees,truffle,4,14,364,29.710,588492,0,90% 90% 88% 92%,8.307
binarytrees,truffle,4,21,364,225.501,2319404,0,35% 43% 78% 43%,113.722
binarytrees,rust,2,7,721,0.004,0,0,0% 0% 100% 0%,0.015
binarytrees,rust,2,14,721,0.090,0,0,67% 100% 67% 67%,0.033
binarytrees,rust,2,21,721,16.688,164868,0,91% 89% 99% 89%,4.557
binarytrees,rust,2,21,721,16.821,143956,0,87% 87% 97% 91%,4.662
binarytrees,rust,2,21,721,15.917,157260,0,90% 100% 90% 90%,4.338
binarytrees,rust,2,21,721,15.753,135348,0,90% 99% 88% 90%,4.310
binarytrees,rust,2,21,721,15.846,132192,0,90% 90% 100% 90%,4.306
binarytrees,rust,2,21,721,16.362,146552,0,90% 90% 99% 90%,4.450
binarytrees,yarv,4,7,364,0.771,9876,0,49% 69% 31% 2%,0.517
binarytrees,yarv,4,14,364,1.687,13228,0,100% 5% 95% 6%,0.841
binarytrees,yarv,4,21,364,134.280,438156,0,15% 30% 22% 77%,94.462
binarytrees,gpp,1,7,754,0.008,0,0,0% 100% 50% 50%,0.009
binarytrees,gpp,1,14,754,0.094,0,0,60% 80% 60% 50%,0.047
binarytrees,gpp,1,21,754,31.904,1643632,0,92% 95% 93% 93%,8.864
binarytrees,gpp,1,21,754,31.744,1904208,0,91% 95% 96% 91%,8.640
binarytrees,gpp,1,21,754,31.911,1827728,0,97% 92% 92% 92%,8.615
binarytrees,gpp,1,21,754,31.745,1721676,0,97% 91% 91% 92%,8.605
binarytrees,gpp,1,21,754,31.723,1604856,0,94% 92% 92% 94%,8.572
binarytrees,gpp,1,21,754,31.751,1653568,0,92% 92% 97% 92%,8.603
binarytrees,jruby,2,7,378,8.935,168580,0,88% 72% 63% 66%,3.100
binarytrees,jruby,2,14,378,10.181,191108,0,69% 54% 73% 75%,3.749
binarytrees,jruby,2,21,378,238.939,2325612,0,52% 62% 52% 42%,115.959
binarytrees,gcc,3,7,836,0.008,0,0,100% 0% 33% 33%,0.022
binarytrees,gcc,3,14,836,0.053,0,0,67% 100% 50% 50%,0.022
binarytrees,gcc,3,21,836,7.768,129388,0,82% 64% 67% 94%,2.549
binarytrees,gcc,3,21,836,7.784,126832,0,65% 85% 82% 72%,2.570
binarytrees,gcc,3,21,836,7.758,129436,0,78% 67% 64% 98%,2.540
binarytrees,gcc,3,21,836,7.790,127868,0,63% 98% 78% 67%,2.574
binarytrees,gcc,3,21,836,7.792,130292,0,63% 93% 83% 66%,2.572
binarytrees,gcc,3,21,836,7.801,129216,0,72% 87% 82% 67%,2.550
binarytrees,python3,1,7,589,0.132,9692,0,6% 26% 74% 2%,0.612
binarytrees,python3,1,14,589,1.680,53036,0,55% 68% 82% 55%,0.716
binarytrees,python3,1,21,589,336.540,449328,0,88% 92% 94% 89%,93.402
binarytrees,csharpcore,4,7,810,0.135,0,0,8% 8% 0% 92%,0.120
binarytrees,csharpcore,4,14,810,0.267,0,0,25% 59% 53% 29%,0.166
binarytrees,csharpcore,4,21,810,25.745,679012,0,81% 79% 86% 86%,7.833
binarytrees,csharpcore,4,21,810,26.516,879216,0,86% 85% 77% 86%,7.980
binarytrees,csharpcore,4,21,810,26.423,712792,0,86% 84% 81% 80%,8.042
binarytrees,csharpcore,4,21,810,26.707,638260,0,86% 86% 81% 75%,8.265
binarytrees,csharpcore,4,21,810,26.646,731744,0,83% 85% 79% 81%,8.192
binarytrees,csharpcore,4,21,810,25.873,724432,0,84% 79% 78% 85%,7.995
binarytrees,php,5,7,1040,0.024,0,0,14% 0% 17% 83%,0.060
binarytrees,php,5,14,1040,1.101,10424,0,63% 85% 38% 88%,0.407
binarytrees,php,5,21,1040,222.044,736908,0,91% 95% 0% 95%,79.007
binarytrees,fpascal,1,7,715,0.002,0,0,0% 0% 100% 0%,0.020
binarytrees,fpascal,1,14,715,0.156,0,0,0% 19% 100% 6%,0.157
binarytrees,fpascal,1,21,715,36.397,262176,0,100% 1% 1% 0%,36.424
binarytrees,fpascal,1,21,715,36.580,262180,0,38% 29% 35% 0%,36.611
binarytrees,fpascal,1,21,715,36.958,262176,0,0% 1% 0% 100%,36.984
binarytrees,fpascal,1,21,715,36.672,262176,0,0% 1% 0% 100%,36.698
